from_user,user_lang,from_user_id_str,profile_image_url,user_followers_count,user_friends_count,user_location
osalanEJGV,es,232143475,http://pbs.twimg.com/profile_images/1084799084685418497/V80pJgkb_normal.jpg,6771,5715,Euskadi
CEAinforma,es,384223902,http://pbs.twimg.com/profile_images/1091278043019120641/uZu-ytop_normal.jpg,2073,445,"Sevilla, España"
Plataforma3sect,es,492922958,http://pbs.twimg.com/profile_images/734703783993835520/4qg3O_eJ_normal.jpg,5194,3591,España
CesarNandis,es,994521754767904769,http://pbs.twimg.com/profile_images/1093348158048952320/SGwenskd_normal.jpg,12,29,-
Mesa3sectorAst,es,724984013744693248,http://pbs.twimg.com/profile_images/724984219542392833/kBG83At-_normal.jpg,75,78,"Oviedo, España"
sanchezg13,es,309382502,http://pbs.twimg.com/profile_images/1025257576475381761/TGbhUCa__normal.jpg,759,1449,Yaviza-Darien
OissSec,es,718032769771810818,http://pbs.twimg.com/profile_images/1108383527505149955/tQgx0A29_normal.jpg,1587,414,"Madrid, España"
AOlveira81,es,1633169832,http://pbs.twimg.com/profile_images/1141437907812659202/QYTk_rNs_normal.png,508,395,"Vilagarcía de Arousa, España"
santiagopinzong,en,49005215,http://pbs.twimg.com/profile_images/1107270704075026432/mN_6BZll_normal.jpg,5431,2761,Colombia
CDR_Portabertas,es,3308052245,http://pbs.twimg.com/profile_images/606413758743887873/-pCZBO3T_normal.jpg,163,368,-
ideas_es,es,339186904,http://pbs.twimg.com/profile_images/1141999166798860288/Qn9bgq31_normal.png,6726,1796,"Córdoba, Spain"
LoliRicoG,es,1484933762,http://pbs.twimg.com/profile_images/1089996995975135238/5AqtNRNi_normal.jpg,3346,2071,"Bilbao, Bizkaia"
Cenpromype_sica,es,2574549507,http://pbs.twimg.com/profile_images/1004760898282577920/j7xxCLYC_normal.jpg,5432,712,Región SICA
Cermi_Estatal,es,706893168,http://pbs.twimg.com/profile_images/1141636413047345152/LgCKUorV_normal.png,26919,7437,España
fescancantabria,es,2816771454,http://pbs.twimg.com/profile_images/512555722718990336/fGZr209q_normal.png,1020,132,"Santander, Cantabria"
TeatroCero,es,1408507856,http://pbs.twimg.com/profile_images/3623408636/0208df35485e697b9ac2f56d24422b8d_normal.jpeg,33,234,-
EmbChileJapon,es,3069072044,http://pbs.twimg.com/profile_images/984812844490211329/zyfOEKmC_normal.jpg,599,194,"3-1-14, Shiba, Minato-ku"
FCermiMujeres,es,3032299841,http://pbs.twimg.com/profile_images/650986925856301056/u8bIH6BJ_normal.jpg,3051,1443,España
anaisojz,es,419641675,http://pbs.twimg.com/profile_images/918053726912425984/o5KhahMA_normal.jpg,552,1014,La Palma
PlataformadeONG,es,507240283,http://pbs.twimg.com/profile_images/2280326905/tw_14503397_1338890800_normal.jpg,7550,735,Madrid
LauCVEM,es,377304450,http://pbs.twimg.com/profile_images/1142959094845902850/We7ctPty_normal.jpg,2461,933,Lisboa.Madrid
Caminomoya,es,309530198,http://pbs.twimg.com/profile_images/543796061316579329/bpYEm-_g_normal.jpeg,2230,2064,Valencia / Landete 
EmbEspAlemania,es,2274303913,http://pbs.twimg.com/profile_images/1006181828041101312/K19USyUz_normal.jpg,2979,268,Berlín
DircomCAN,es,882172214,http://pbs.twimg.com/profile_images/461158020332789760/GwB1I7Pz_normal.png,509,271,"Islas Canarias, España"
imaeso,es,123829788,http://pbs.twimg.com/profile_images/1220108348/yo_london_2_normal.jpg,341,974,"Santa Cruz de Tenerife, España"
Corresponsables,es,87917306,http://pbs.twimg.com/profile_images/803384343846670338/mmWttt0n_normal.jpg,29072,537,España y Latinoamérica
NantikLum,es,397948424,http://pbs.twimg.com/profile_images/1108313676694634498/AXYE3Mwt_normal.png,1114,788,España
anikka91,es,52848939,http://pbs.twimg.com/profile_images/1083091565990559744/ddFy9wYt_normal.jpg,834,1723,"Murcia, España"
LaJimeOK,en,1006291846140760064,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,17,29,-
Metropoliscomu,es,296821425,http://pbs.twimg.com/profile_images/923841681887256581/glOI7WRN_normal.jpg,641,437,-
Catedra_RSC,es,500693029,http://pbs.twimg.com/profile_images/1118429537283530753/EAxq0y0d_normal.jpg,2594,1069,Murcia
CreaCulturaRsC,es,979627786666209280,http://pbs.twimg.com/profile_images/992874654560870401/fwujwzdt_normal.jpg,206,539,-
Canaragua,es,1448851585,http://pbs.twimg.com/profile_images/808282432969605122/Rxf7nbmg_normal.jpg,1821,1668,Canarias
Juanicolas_in,es,1037877978,http://pbs.twimg.com/profile_images/932976180541739008/Volxofz3_normal.jpg,1144,2034,"Murcia, España"
GEAccounting,es,3046878729,http://pbs.twimg.com/profile_images/568781694933553154/J2VvBLzr_normal.png,147,284,Bilbao
