ids_str;url;expanded_url;display_url
1143845927062593542;https://t.co/D7mjtB9cdv;https://www.efeverde.com/blog/lo-pequeno-es-hermoso/ods-agua-limpia-saneamiento/;efeverde.com/blog/lo-pequen…
1143840094207582208;https://t.co/tbLg91TvHo;http://bit.ly/2wC8AvB;bit.ly/2wC8AvB
1143838876924022785;https://t.co/vPxJZSMsf9;https://elrucpolitic.blogspot.com/2019/06/la-agenda-2030.html;elrucpolitic.blogspot.com/2019/06/la-age…
1143829519964524545;https://t.co/WR3l4UD4WG;http://bit.ly/ODSAFRICA;bit.ly/ODSAFRICA
1143828764813680640;https://t.co/NBUkK3kamy;http://fairtr.de/1RM;fairtr.de/1RM
1143826249363677185;https://t.co/5t4mAQ6vMY;http://bit.ly/2MsKXAr;bit.ly/2MsKXAr
1143819961720279040;https://t.co/igICvgtq6O;http://bit.ly/2XkjD8y;bit.ly/2XkjD8y
1143818826737340416;https://t.co/un5weQOdwZ;http://www.unrisd.org/sdgs-sse-conference;unrisd.org/sdgs-sse-confe…
1143813708197638144;https://t.co/mFY3wGUqQL;http://ow.ly/mKGN50uMaUz;ow.ly/mKGN50uMaUz
1143801729944891392;https://t.co/2cDrtCjLpw;https://educacionambiental26.wordpress.com/2019/06/24/los-ods-y-la-educacion-ambiental-como-los-encajamos-ea26-26-junio-2019/;educacionambiental26.wordpress.com/2019/06/24/los…
1143798654786002945;https://t.co/2sbPOcwwPv;http://ow.ly/WfIl50uN1Ac;ow.ly/WfIl50uN1Ac
1143795676003938304;https://t.co/hMEWFfMR9r;https://fundaciongsr.org/javier-nadal-reelegido-presidente-de-la-asociacion-espanola-de-fundaciones/;fundaciongsr.org/javier-nadal-r…
1143795538179035137;https://t.co/atE3Sb9Gff;https://bit.ly/2KKDmvB;bit.ly/2KKDmvB
1143794825415856128;https://t.co/HNBzpkQdMg;https://bit.ly/2Krvj6B;bit.ly/2Krvj6B
1143786785627103235;https://t.co/lMFDXAnpFy;https://tinyurl.com/y4m2bpts;tinyurl.com/y4m2bpts
1143782843233054720;https://t.co/9oTKuGM0A0;http://www.unrisd.org/sdgs-sse-conference;unrisd.org/sdgs-sse-confe…
1143764599143043072;https://t.co/k2RKGzRuxE;http://bit.ly/2wtekI9;bit.ly/2wtekI9
1143758579146645504;https://t.co/jJ7uPNgEFu;https://www.fundacionaquae.org/wp_quiz/cuanto-sabes-sobre-los-ods/;fundacionaquae.org/wp_quiz/cuanto…
1143754527008612352;https://t.co/9bhLX5m7zt;http://bit.ly/30ZSvOb;bit.ly/30ZSvOb
1143692914914201601;https://t.co/SHDMDiF7OI;http://ow.ly/OHEW50uMPGj;ow.ly/OHEW50uMPGj
1143685352667918336;https://t.co/2yyyNidRru;https://bit.ly/2M2lUiB;bit.ly/2M2lUiB
1143683928429092864;https://t.co/ozkkiEX1xi;http://bit.ly/TrampasPM;bit.ly/TrampasPM
1143683928429092864;https://t.co/YfT4OZpiEd;http://bit.ly/PHroODS;bit.ly/PHroODS
1143683928429092864;https://t.co/95wmHQfywU;http://bit.ly/DanonE;bit.ly/DanonE
