from_user,user_followers_count,user_friends_count,retweet,tweet
imartalamas,5389,4949,True,False
ONGDhmasd,811,1153,False,True
Migueldiezsanjo,449,759,True,False
valletello,308,229,True,False
LauraJuarezH,420,277,False,True
_EBTN,455,397,True,False
palabrademael,741,1089,True,False
algonza27,115,195,True,False
CompromisoRSE,13148,1227,False,True
drotorrent,2476,3056,False,True
lupitamix,157,462,True,False
afca_es,1517,1235,False,True
drotorrent,2476,3056,False,True
LuisTramon,783,1142,True,False
FUNDHEX,931,1480,False,True
gjespinosa2,87,105,True,False
kozodoevaa,0,0,True,False
arturojimena,320,1059,True,False
cemad_es,1659,748,False,True
INCIDEMSP,334,334,True,False
SusanaAPlastica,33,80,True,False
manuelborobio,533,314,True,False
Turismo_URJC_,135,218,True,False
CeciliaGuemes,2717,1919,False,True
BIzaola,224,220,True,False
jareyme,1138,1405,True,False
drotorrent,2475,3056,False,True
Mary_Mosteiro,279,278,True,False
UCAM_Turismo,1251,1920,True,False
janaveros,1748,3282,False,True
dowppa,118,15,False,True
DowIberica,1336,696,True,False
pazhernandez81,916,224,False,True
PactoMundial,17723,560,True,False
xavijim,1341,1230,True,False
getupandgoalsES,11,33,True,False
estebandemanuel,4515,3634,False,True
LuisGuijarro72,1731,405,True,False
molcru,9695,7022,True,False
LuisGuijarro72,1731,405,True,False
JaimeArmarioB,229,375,True,False
Dialoguia,68,278,True,False
Dialoguia,68,278,True,False
PacoAlos,658,545,True,False
agencia_nodos,253,213,True,False
agencia_nodos,253,213,True,False
DavidPombar,3871,405,True,False
BurgosSolidaria,592,374,True,False
jpascualruiz,328,305,True,False
fuina,1609,1517,True,False
Srbrnal,80,309,True,False
Tosgriju,2203,736,True,False
jaga661971,150,215,True,False
jjferrer_aqua,199,186,True,False
Corresponsables,29073,362,False,True
2030Comunicando,335,1466,False,True
florchsandoval,1402,2237,True,False
manueljesusF,16817,15075,False,True
SergioFSierra,2336,4635,True,False
AlbertoRiG,622,986,True,False
enriquejan,530,502,True,False
Andesco1,6391,457,True,False
mgarciasalguero,1253,1062,True,False
Juanfradelgado,12916,4771,False,True
AlexPulidoG,6226,3654,True,False
Corresponsables,29072,178,False,True
papajulio,296,179,True,False
lindamarchuk,1251,1512,True,False
caterinons,1039,679,True,False
pochonavaro,3578,5000,False,True
Roberto19740286,10,37,True,False
RSConsulting6,21,34,False,True
Corresponsables,29072,178,False,True
ClamVeracruz,323,905,True,False
IsabelSimonV5,17,61,True,False
PremioUVM,2232,1433,True,False
CatherinV6,29,318,True,False
BibliotecasRBJ,1343,180,True,False
NAlejandraSoto,572,715,True,False
SherenePerez1,7,6,True,False
SherenePerez1,7,6,True,False
AAECAD,3286,1874,True,False
SherenePerez1,7,6,True,False
ChileVoluntario,3809,1382,True,False
fer_eco,403,1082,True,False
versuserwin,1383,3576,True,False
oscuriosa,389,1183,True,False
CristinaBorraj1,500,80,True,False
salaslety,24635,11293,True,False
YenniferVelaz13,28,56,True,False
celestinourbie2,25,178,True,False
EChileVenezuela,17811,1208,True,False
Corresponsables,29073,177,False,True
asezatuci,217,412,True,False
KarolArambula,2709,4998,True,False
soce_cgce,67,164,True,False
elcarpo,28470,2157,True,False
MarysolBustama1,19,74,True,False
Violet_Ruouiz,3025,1389,True,False
TUL_01,3494,5001,True,False
genarocuadros,4249,1473,True,False
RafaPazHdez,152,817,True,False
RicardoOjinaga1,146,136,True,False
alegriafonseca,6019,3023,True,False
fernando__lopez,3441,3681,True,False
CamiloMontes,13112,1208,True,False
ANDI_Colombia,92357,1163,True,False
carlosfonzeca,7918,5597,True,False
