hora,numero
11,644
10,684
9,543
8,399
7,339
6,244
5,169
4,235
3,281
2,314
1,313
0,388
23,411
22,532
21,628
20,590
19,678
18,743
17,902
16,708
15,824
14,736
13,687
12,676
