dia,numero
27,285
26,845
25,516
24,341
23,170
22,258
21,532
20,573
19,662
18,634
17,373
16,155
15,207
14,457
13,633
12,681
11,550
10,318
9,155
8,435
7,648
6,767
5,903
4,568
3,554
2,270
1,178
